INFO  - 2015-10-12 08:50:26.933; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2015-10-12 08:50:26.959; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /home/eslider/Projects/dbsimm-flimas/bin/solr/example/contexts at interval 0
INFO  - 2015-10-12 08:50:26.965; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /home/eslider/Projects/dbsimm-flimas/bin/solr/example/contexts/solr-jetty-context.xml
INFO  - 2015-10-12 08:50:27.896; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2015-10-12 08:50:27.940; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2015-10-12 08:50:27.949; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2015-10-12 08:50:27.949; org.apache.solr.core.SolrResourceLoader; using system property solr.solr.home: /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/
INFO  - 2015-10-12 08:50:27.950; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/'
INFO  - 2015-10-12 08:50:28.062; org.apache.solr.core.ConfigSolr; Loading container configuration from /home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/solr.xml
INFO  - 2015-10-12 08:50:28.147; org.apache.solr.core.CoreContainer; New CoreContainer 1514476350
INFO  - 2015-10-12 08:50:28.148; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/]
INFO  - 2015-10-12 08:50:28.159; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2015-10-12 08:50:28.159; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2015-10-12 08:50:28.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2015-10-12 08:50:28.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2015-10-12 08:50:28.160; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2015-10-12 08:50:28.162; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2015-10-12 08:50:28.162; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2015-10-12 08:50:28.163; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2015-10-12 08:50:28.163; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2015-10-12 08:50:28.163; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2015-10-12 08:50:28.285; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2015-10-12 08:50:28.287; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2015-10-12 08:50:28.288; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2015-10-12 08:50:28.288; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2015-10-12 08:50:28.323; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/eslider/Projects/dbsimm-flimas/bin/solr/example/../../../application/solr/solr/Digitizer/'
